기초시군구(관할관청),업체명,연락처,폐기물구분,폐기물명,연간배출량(톤)
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,연구ㆍ검사용 폐시약,5.15
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,폐기계유ㆍ폐작동유(공업용 기계유ㆍ냉동기유ㆍ터어빈유ㆍ베어링윤활유ㆍ압축기유ㆍ유압작동유ㆍ열매체유 및 프로세스유 등을 말한다),27.23
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,폐유성페인트,2.04
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,폐절연유(폴리클로리네이티드비페닐 함유 폐기물을 제외한다),2.19
강원특별자치도 강릉시,한국남동발전(주) 영동에코발전본부,070-8898-4625,,흩날릴 우려가 없는 폐석면,0.84
강원특별자치도 강릉시,한국에너지(주),033-643-8822,사업장배출시설계폐기물,그 밖의 폐목재류,131.85
강원특별자치도 강릉시,한국에너지(주),033-643-8822,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),4715.83
강원특별자치도 강릉시,한국전력공사 강릉지사,033-650-1284,사업장배출시설계폐기물,"폐전주(폐애자, 폐근가 및 폐합성수지제 커버류 등을 포함한다)",1853.63442
강원특별자치도 강릉시,한국전력공사 강릉지사,033-650-1284,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),17.44029
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장배출시설계폐기물,그 밖의 광재류,131.45
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장배출시설계폐기물,폐내화물,1642.85
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장배출시설계폐기물,폐수처리오니,208.3
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장배출시설계폐기물,폐합성고무류,132
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),29.82
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장생활계폐기물,"(구)폐가구류, 폐도장목, 폐목재포장재, 폐전선드럼(원목상태의 깨끗한 목재를 말한다)",108.23
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장생활계폐기물,폐콘크리트,26.81
강원특별자치도 강릉시,한라시멘트주식회사,033-530-1462,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),220.6
강원특별자치도 강릉시,해양환경공단 옥계사업소,033-534-0840,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",350.38
강원특별자치도 강릉시,해양환경공단 옥계사업소,033-534-0840,,폐연료유,1.6
강원특별자치도 강릉시,해양환경공단 옥계사업소,033-534-0840,,폐윤활유(「자원의 절약과 재활용촉진에 관한 법률 시행령」 제18조에 따른 재활용의무 대상 제품ㆍ포장재인 기어유 및 내연기관용 윤활유를 말한다),68.11
강원특별자치도 고성군,고성군 농어촌폐기물종합처리시설,033-680-3983,,생활폐기물 소각시설 비산재,31.27
강원특별자치도 고성군,주식회사미봉,033-680-7800,사업장생활계폐기물,그 밖의 폐기물,51.82
강원특별자치도 고성군,주식회사미봉,033-680-7800,사업장생활계폐기물,음식물류폐기물,38.76
강원특별자치도 고성군,주식회사미봉,033-680-7800,,그 밖의 폐산,0.3
강원특별자치도 고성군,죽왕수산업협동조합,033-632-0024,사업장생활계폐기물,폐어망,96
강원특별자치도 고성군,화진포콘도,033-682-0500,사업장생활계폐기물,그 밖의 폐기물,25
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,그 밖의 동ㆍ식물성잔재물,51.06
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,그 밖의 폐목재류,6.93
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,석탄재,289029.35
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,폐수처리오니,1922.3
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,폐이온교환수지,7.46
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,폐토사,10.55
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),80.62
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",12.01
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,,그 밖의 폐유,3.33
강원특별자치도 동해시,(주)지에스동해전력,033-820-1324,,폐윤활유(「자원의 절약과 재활용촉진에 관한 법률 시행령」 제18조에 따른 재활용의무 대상 제품ㆍ포장재인 기어유 및 내연기관용 윤활유를 말한다),17.2
강원특별자치도 동해시,(주)화남인터내셔날,,사업장생활계폐기물,수산물가공잔재물,67.63
강원특별자치도 동해시,글로리아 산부인과,033-533-0050,,손상성폐기물,0.014
강원특별자치도 동해시,글로리아 산부인과,033-533-0050,,일반의료폐기물,0.258
강원특별자치도 동해시,글로리아 산부인과,033-533-0050,,조직물류폐기물(태반을 재활용하는 경우는 제외한다),0.102
강원특별자치도 동해시,금강병원장례식장,033-521-0404,,일반의료폐기물,0.168
강원특별자치도 동해시,누가이비인후과,033-535-3600,,병리계폐기물,0.01
강원특별자치도 동해시,누가이비인후과,033-535-3600,,손상성폐기물,0.378
강원특별자치도 동해시,누가이비인후과,033-535-3600,,일반의료폐기물,0.963
강원특별자치도 동해시,누니부신피부과의원,033-535-3870,,손상성폐기물,0.03
강원특별자치도 동해시,누니부신피부과의원,033-535-3870,,일반의료폐기물,0.338
강원특별자치도 동해시,대영물산,033-522-2347,사업장배출시설계폐기물,수산물가공잔재물,59.676
강원특별자치도 동해시,동해금강요양병원,033-520-7201,,병리계폐기물,0.449
강원특별자치도 동해시,동해금강요양병원,033-520-7201,,손상성폐기물,0.092
강원특별자치도 동해시,동해금강요양병원,033-520-7201,,일반의료폐기물,8.301
강원특별자치도 동해시,동해금강의원,033520-7201,,병리계폐기물,0.084
강원특별자치도 동해시,동해금강의원,033520-7201,,손상성폐기물,0.046
강원특별자치도 동해시,동해금강의원,033520-7201,,일반의료폐기물,0.338
강원특별자치도 동해시,동해금강의원,033520-7201,,조직물류폐기물(태반을 재활용하는 경우는 제외한다),0.02
강원특별자치도 동해시,동해시건조인협회,033-531-3115,사업장생활계폐기물,수산물가공잔재물,129.4
강원특별자치도 동해시,동해요양원,033-533-7741,,격리의료(신종코로나),0.654
강원특별자치도 동해시,동해요양원,033-533-7741,,일반의료폐기물,0.788
강원특별자치도 동해시,동해이레요양병원,033-533-7741,,격리의료(신종코로나),0.737
강원특별자치도 동해시,동해이레요양병원,033-533-7741,,병리계폐기물,0.07
강원특별자치도 동해시,동해이레요양병원,033-533-7741,,"생물,화학폐기물",0.023
강원특별자치도 동해시,동해이레요양병원,033-533-7741,,손상성폐기물,0.066
강원특별자치도 동해시,동해이레요양병원,033-533-7741,,일반의료폐기물,6.236546
강원특별자치도 동해시,동해이레요양병원,033-533-7741,,조직물류폐기물(태반을 재활용하는 경우는 제외한다),0.442584
강원특별자치도 동해시,성심의원,033-531-3900,,손상성폐기물,0.06
강원특별자치도 동해시,성심의원,033-531-3900,,일반의료폐기물,0.418
강원특별자치도 동해시,심내과의원,033-532-9338,,손상성폐기물,0.036
강원특별자치도 동해시,심내과의원,033-532-9338,,일반의료폐기물,0.153
강원특별자치도 동해시,쌍용로지스틱스(주),033-521-7406,사업장배출시설계폐기물,그 밖의 폐기물,292
강원특별자치도 동해시,아이리스 의원,033-535-0031,,손상성폐기물,0.022
강원특별자치도 동해시,아이리스 의원,033-535-0031,,일반의료폐기물,0.088
강원특별자치도 동해시,원강한의원,033-533-4767,,손상성폐기물,0.002
강원특별자치도 동해시,원강한의원,033-533-4767,,일반의료폐기물,0.071
강원특별자치도 동해시,원플러스원,033-532-0558,,손상성폐기물,0.001
강원특별자치도 동해시,원플러스원,033-532-0558,,일반의료폐기물,0.072
강원특별자치도 동해시,참사랑노인복지원,033-533-9321,,일반의료폐기물,0.014
강원특별자치도 동해시,탁내과의원,033-532-7100,,손상성폐기물,0.014
강원특별자치도 동해시,탁내과의원,033-532-7100,,일반의료폐기물,0.102
강원특별자치도 동해시,필 동물병원,033-534-7178,,손상성폐기물,0.01
강원특별자치도 동해시,필 동물병원,033-534-7178,,일반의료폐기물,0.134
강원특별자치도 동해시,필 동물병원,033-534-7178,,조직물류폐기물(태반을 재활용하는 경우는 제외한다),0.066
강원특별자치도 동해시,한섬한의원,033-533-4322,,손상성폐기물,0.009
강원특별자치도 동해시,한섬한의원,033-533-4322,,일반의료폐기물,0.099
강원특별자치도 동해시,항포구정화사업,033-532-2019,사업장생활계폐기물,폐어망,280.11
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,그 밖의 폐목재류,334.91
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,시멘트제조공정분진,30099.29
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,정수처리오니,5
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,폐내화물,1182.4
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,폐수처리오니,29.5
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,폐합성고무류,184.55
강원특별자치도 삼척시,(주)삼표시멘트 삼척공장,033-571-7295,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),234.4
강원특별자치도 삼척시,강원도삼척의료원,033-570-7358,,그 밖의 폐산,2.5
강원특별자치도 삼척시,강원도자동차전문정비사업조합 삼척지회,033-574-0534,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",12.5
강원특별자치도 삼척시,강원도자동차전문정비사업조합 삼척지회,033-574-0534,,폐오일필터,8.25
강원특별자치도 삼척시,강원도자동차전문정비사업조합 삼척지회,033-574-0534,,폐윤활유(「자원의 절약과 재활용촉진에 관한 법률 시행령」 제18조에 따른 재활용의무 대상 제품ㆍ포장재인 기어유 및 내연기관용 윤활유를 말한다),136.9
강원특별자치도 삼척시,강원도자동차전문정비사업조합 삼척지회,033-574-0534,,폐황산이 포함된 2차폐축전지,40.413
강원특별자치도 삼척시,강원에너지환경회,033-575-4585,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",107
강원특별자치도 삼척시,강원에너지환경회,033-575-4585,,폐오일필터,20.03
강원특별자치도 삼척시,강원에너지환경회,033-575-4585,,폐유성페인트,22.26
강원특별자치도 삼척시,강원에너지환경회,033-575-4585,,폐윤활유(「자원의 절약과 재활용촉진에 관한 법률 시행령」 제18조에 따른 재활용의무 대상 제품ㆍ포장재인 기어유 및 내연기관용 윤활유를 말한다),448.35
강원특별자치도 삼척시,삼척시효도노인요양원,033-572-7744,,손상성폐기물,0.01
강원특별자치도 삼척시,삼척시효도노인요양원,033-572-7744,,일반의료폐기물,0.196
강원특별자치도 삼척시,"삼척화력1,2호기 EPC건설공사",070-4216-7543,사업장생활계폐기물,(구)건축현장 폐목재(원목상태의 깨끗한 목재를 말한다),1236.55
강원특별자치도 삼척시,"삼척화력1,2호기 EPC건설공사",070-4216-7543,사업장생활계폐기물,"(구)건축현장 폐목재(접착제, 페인트, 기름, 콘크리트 등의 물질이 사용된 목재를 말한다)",1035.95
강원특별자치도 삼척시,"삼척화력1,2호기 EPC건설공사",070-4216-7543,사업장생활계폐기물,"(구)임목폐목재(건설공사, 산지개간 등의 과정에서 발생된 나무뿌리, 가지, 줄기 등을 말한다)",164.82
강원특별자치도 삼척시,"삼척화력1,2호기 EPC건설공사",070-4216-7543,사업장생활계폐기물,폐판넬,27.49
강원특별자치도 삼척시,"삼척화력1,2호기 EPC건설공사",070-4216-7543,사업장생활계폐기물,폐합성섬유,49.56
강원특별자치도 삼척시,"삼척화력1,2호기 EPC건설공사",070-4216-7543,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),967.45
강원특별자치도 삼척시,심포리 정수장 폐수처리오니 위탁처리공사,033-550-9134,사업장배출시설계폐기물,폐수처리오니,91.72
강원특별자치도 삼척시,홈플러스(주)삼척점,033-571-8120,사업장생활계폐기물,음식물류폐기물,29.1
강원특별자치도 삼척시,홈플러스(주)삼척점,033-571-8120,사업장생활계폐기물,축산물가공잔재물(동물성 유지류는 제외한다),5.055
강원특별자치도 삼척시,홈플러스(주)삼척점,033-571-8120,사업장생활계폐기물,폐식용유(식용을 목적으로 식품 재료와 원료를 제조ㆍ조리ㆍ가공하거나 식용유를 유통ㆍ사용 또는 음식물류 폐기물을 처리하는 과정에서 발생하는 기름을 말한다),2.052
강원특별자치도 삼척시,홈플러스(주)삼척점,033-571-8120,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),101.76
강원특별자치도 삼척시,환경시설관리주식회사(삼척),033-576-0167,사업장배출시설계폐기물,하수처리오니,2087.62
강원특별자치도 속초시,강원도자동차전문정비사업조합 속초지회,033-631-9674,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",45.97
강원특별자치도 속초시,강원도자동차전문정비사업조합 속초지회,033-631-9674,,그 밖의 폐유기용제,0.2
강원특별자치도 속초시,강원도자동차전문정비사업조합 속초지회,033-631-9674,,폐오일필터,28.35
강원특별자치도 속초시,강원도자동차전문정비사업조합 속초지회,033-631-9674,,폐윤활유(「자원의 절약과 재활용촉진에 관한 법률 시행령」 제18조에 따른 재활용의무 대상 제품ㆍ포장재인 기어유 및 내연기관용 윤활유를 말한다),205.95
강원특별자치도 속초시,강원도자동차전문정비사업조합 속초지회,033-631-9674,,폐황산이 포함된 2차폐축전지,57.177
강원특별자치도 속초시,세범푸드(주),033-638-8922,사업장배출시설계폐기물,수산물가공잔재물,191.03
강원특별자치도 속초시,속초해양산업단지 폐수종말처리시설,033-632-1730,사업장배출시설계폐기물,그 밖의 폐기물,31.79
강원특별자치도 속초시,속초해양산업단지 폐수종말처리시설,033-632-1730,사업장배출시설계폐기물,하수처리오니,4413.33
강원특별자치도 양구군,신동식품(주),033-482-0727,사업장생활계폐기물,그 밖의 식물성잔재물,168.69
강원특별자치도 양구군,양구군 상하수도사업소-남면하수처리장,033-481-8472,사업장배출시설계폐기물,그 밖의 폐기물,6.85
강원특별자치도 양구군,양구군 상하수도사업소-남면하수처리장,033-481-8472,사업장배출시설계폐기물,하수처리오니,369.14
강원특별자치도 양구군,양구군 상하수도사업소-양구하수처리장,033-481-8472,사업장배출시설계폐기물,그 밖의 폐기물,46.1
강원특별자치도 양구군,양구군 상하수도사업소-양구하수처리장,033-481-8472,사업장배출시설계폐기물,하수처리오니,1851.05
강원특별자치도 양양군,양양군 생활폐기물 소각시설,033-673-0900,사업장배출시설계폐기물,생활폐기물 소각시설 바닥재,1074.52
강원특별자치도 양양군,양양군 생활폐기물 소각시설,033-673-0900,,그 밖의 폐산,8.69
강원특별자치도 양양군,양양군 생활폐기물 소각시설,033-673-0900,,생활폐기물 소각시설 비산재,209.81
강원특별자치도 영월군,"관내학교 과학실 폐수,폐시약처리",033-370-1125,,그 밖의 폐산,0.06
강원특별자치도 영월군,"관내학교 과학실 폐수,폐시약처리",033-370-1125,,연구ㆍ검사용 폐시약,0.21
강원특별자치도 영월군,"관내학교 과학실 폐수,폐시약처리",033-370-1125,,할로겐족 폐유기용제,0.02
강원특별자치도 영월군,담우물산(주),033-374-5188,사업장배출시설계폐기물,그 밖의 분진,199
강원특별자치도 영월군,대성엠디아이(주) 라임켐센터,033-373-9930,사업장배출시설계폐기물,그 밖의 분진,4840.56
강원특별자치도 영월군,대성엠디아이(주) 라임켐센터,033-373-9930,,폐기계유ㆍ폐작동유(공업용 기계유ㆍ냉동기유ㆍ터어빈유ㆍ베어링윤활유ㆍ압축기유ㆍ유압작동유ㆍ열매체유 및 프로세스유 등을 말한다),0.29
강원특별자치도 영월군,대성엠디아이(주) 라임켐센터,033-373-9930,,폐오일필터,0.33
강원특별자치도 영월군,쌍용씨앤이(주)영월공장,033-370-8522,사업장배출시설계폐기물,(구)폐받침목,56.44
강원특별자치도 영월군,쌍용씨앤이(주)영월공장,033-370-8522,사업장배출시설계폐기물,그 밖의 폐목재류,61.19
강원특별자치도 영월군,쌍용씨앤이(주)영월공장,033-370-8522,사업장배출시설계폐기물,그 밖의 폐합성고분자화합물(합성수지류로 피복된 폐전선을 포함한다),2.74
강원특별자치도 영월군,쌍용씨앤이(주)영월공장,033-370-8522,사업장배출시설계폐기물,폐합성고무류,20.06
강원특별자치도 영월군,쌍용씨앤이(주)영월공장,033-370-8522,사업장배출시설계폐기물,폐합성섬유,50.05
강원특별자치도 영월군,쌍용씨앤이(주)영월공장,033-370-8522,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),204.27
강원특별자치도 영월군,주식회사 신세계산업,033-375-9294,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),16.03
강원특별자치도 영월군,주식회사 신세계산업,033-375-9294,사업장배출시설계폐기물,화학점결폐주물사,49523.87
강원특별자치도 원주시,(자)금강개발,033-747-2680,사업장배출시설계폐기물,"(구)건축현장 폐목재(접착제, 페인트, 기름, 콘크리트 등의 물질이 사용된 목재를 말한다)",729.75
강원특별자치도 원주시,(자)금강개발,033-747-2680,사업장배출시설계폐기물,그 밖의 폐기물,73.18
강원특별자치도 원주시,(자)금강개발,033-747-2680,사업장배출시설계폐기물,그 밖의 폐목재류,469.03
강원특별자치도 원주시,(자)금강개발,033-747-2680,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),3789.25
강원특별자치도 원주시,(자)대선환경,033-732-8923,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),2692.59
강원특별자치도 원주시,(자)우진창호,033-747-6245,사업장생활계폐기물,폐유리,11.36
강원특별자치도 원주시,(자)우진창호,033-747-6245,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),1.53
강원특별자치도 원주시,(주)뉴보텍 문막공장,033-742-6060,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),150.84
강원특별자치도 원주시,(주)도루코리빙 문막지점,033-734-3211,사업장생활계폐기물,폐폴리염화비닐수지류,62.83
강원특별자치도 원주시,(주)도루코리빙 문막지점,033-734-3211,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),50.32
강원특별자치도 원주시,(주)웅진미트,033-743-5692,사업장생활계폐기물,축산물가공잔재물(동물성 유지류는 제외한다),375.167
강원특별자치도 원주시,(주)진우산업,033-732-0375,사업장생활계폐기물,그 밖의 폐목재류,1587.34
강원특별자치도 원주시,(주)진우산업,033-732-0375,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),4863.58
강원특별자치도 원주시,(주)케이씨씨문막공장,033-749-4511,사업장배출시설계폐기물,그 밖의 공정오니(무기성),110.12
강원특별자치도 원주시,(주)케이씨씨문막공장,033-749-4511,사업장배출시설계폐기물,폐유리섬유,1230.37
강원특별자치도 원주시,(주)케이씨씨문막공장,033-749-4511,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),120.68
강원특별자치도 원주시,(주)케이씨씨문막공장,033-749-4511,사업장배출시설계폐기물,폐활성탄,14.47
강원특별자치도 원주시,(주)파리크라상 원주지점,033-747-7990,사업장배출시설계폐기물,그 밖의 식물성잔재물,309.36
강원특별자치도 원주시,(주)파리크라상 원주지점,033-747-7990,사업장배출시설계폐기물,그 밖의 폐수처리오니,169.73
강원특별자치도 원주시,(주)파리크라상 원주지점,033-747-7990,사업장배출시설계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),124.78
강원특별자치도 원주시,(주)푸드플래닛,033-733-3006,사업장배출시설계폐기물,그 밖의 폐수처리오니,146.31
강원특별자치도 원주시,(주)푸드플래닛,033-733-3006,사업장생활계폐기물,음식물류폐기물,675.693
강원특별자치도 원주시,(주)푸드플래닛,033-733-3006,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),332.11
강원특별자치도 원주시,(주)하나플랜트,033-731-1419,사업장생활계폐기물,폐합성수지류(폐염화비닐수지류는 제외한다),0
강원특별자치도 원주시,강원도자동차전문정비사업조합 원주지회,033-761-7833,,"그 밖의 폐광물유[아스팔트유ㆍ그리스(grease)ㆍ방청유 및 수용성절삭유, 20퍼센트 이상의 이물질이 함유된 폐유, 고체상태의 폐유 등을 말한다]",116.65
강원특별자치도 원주시,강원도자동차전문정비사업조합 원주지회,033-761-7833,,그 밖의 폐유기용제,0.6
강원특별자치도 원주시,강원도자동차전문정비사업조합 원주지회,033-761-7833,,폐오일필터,77.84
강원특별자치도 원주시,강원도자동차전문정비사업조합 원주지회,033-761-7833,,폐윤활유(「자원의 절약과 재활용촉진에 관한 법률 시행령」 제18조에 따른 재활용의무 대상 제품ㆍ포장재인 기어유 및 내연기관용 윤활유를 말한다),600.72
강원특별자치도 원주시,강원도자동차전문정비사업조합 원주지회,033-761-7833,,폐황산이 포함된 2차폐축전지,46.464
